pluno,2016-02-01/2016-02-29,2016-03-01/2016-03-31,2016-04-01/2016-04-30,2016-05-01/2016-05-31,2016-06-01/2016-06-30,2016-07-01/2016-07-31
30170,1.0,2.0,0.0,0.0,1.0,0.0
30171,0.0,0.0,0.0,1.0,0.0,1.0
30172,1.0,0.0,0.0,0.0,0.0,0.0
30175,2.0,0.0,0.0,0.0,2.0,1.0
30202,0.0,0.0,2.0,0.0,0.0,0.0
30215,0.0,1.0,0.0,0.0,0.0,0.0
30231,1.0,0.0,2.0,1.0,0.0,0.0
30233,1.0,0.0,0.0,0.0,0.0,0.0
30241,0.0,0.0,0.0,1.0,0.0,0.0
30250,1.0,0.0,0.0,0.0,0.0,0.0
30300,0.0,1.0,0.0,1.0,0.0,0.0
30302,0.0,0.0,0.0,0.0,1.0,0.0
30304,5.0,0.0,1.0,0.0,2.0,3.0
30308,0.0,0.0,1.0,0.0,1.0,0.0
30310,0.0,1.0,0.0,0.0,0.0,0.0
30313,0.0,0.0,0.0,2.0,0.0,0.0
30314,0.0,1.0,0.0,0.0,0.0,0.0
30320,3.0,1.0,1.0,1.0,0.0,4.0
30321,4.0,7.0,4.0,2.0,4.0,5.0
30322,0.0,0.0,1.0,0.0,0.0,0.0
30323,3.0,2.0,2.0,0.0,2.0,3.0
30330,0.0,1.0,0.0,1.0,1.0,0.0
30331,1.0,0.0,0.0,0.0,0.0,1.0
30332,1.0,0.0,0.0,4.0,0.0,0.0
30333,0.0,1.0,0.0,0.0,0.0,0.0
30334,0.0,3.0,1.0,0.0,1.0,0.0
30335,2.0,0.0,0.0,2.0,3.0,2.0
30336,0.0,1.0,0.0,0.0,1.0,0.0
30337,2.0,0.0,0.0,0.0,0.0,0.0
30338,0.0,0.0,1.0,1.0,1.0,2.0
30340,0.0,0.0,0.0,1.0,0.0,0.0
30341,0.0,1.0,0.0,0.0,0.0,0.0
30346,0.0,0.0,0.0,1.0,0.0,0.0
30348,6.0,2.0,0.0,1.0,2.0,2.0
30350,0.0,1.0,0.0,4.0,0.0,0.0
30351,1.0,0.0,3.0,1.0,1.0,1.0
30352,1.0,1.0,0.0,0.0,0.0,0.0
30353,0.0,1.0,0.0,0.0,0.0,0.0
30354,0.0,1.0,0.0,0.0,0.0,0.0
30355,1.0,1.0,0.0,0.0,0.0,0.0
30356,2.0,1.0,1.0,0.0,0.0,1.0
30358,1.0,0.0,0.0,0.0,0.0,0.0
30360,0.0,0.0,0.0,1.0,0.0,0.0
30361,0.0,1.0,0.0,0.0,0.0,0.0
30362,0.0,0.0,1.0,0.0,0.0,0.0
30364,0.0,0.0,0.0,0.0,2.0,1.0
30365,2.0,3.0,1.0,3.0,0.0,5.0
30380,193.0,182.0,191.0,184.0,157.0,188.0
30393,1.0,0.0,0.0,0.0,0.0,0.0
