pluno,2016-02-01/2016-02-07,2016-02-08/2016-02-14,2016-02-15/2016-02-21,2016-02-22/2016-02-28,2016-02-29/2016-03-06,2016-03-07/2016-03-13,2016-03-14/2016-03-20,2016-03-21/2016-03-27,2016-03-28/2016-04-03,2016-04-04/2016-04-10,2016-04-11/2016-04-17,2016-04-18/2016-04-24,2016-04-25/2016-05-01,2016-05-02/2016-05-08,2016-05-09/2016-05-15,2016-05-16/2016-05-22,2016-05-23/2016-05-29,2016-05-30/2016-06-05,2016-06-06/2016-06-12,2016-06-13/2016-06-19,2016-06-20/2016-06-26,2016-06-27/2016-07-03,2016-07-04/2016-07-10,2016-07-11/2016-07-17,2016-07-18/2016-07-24,2016-07-25/2016-07-31
221,60.881,33.489,85.17100000000005,43.458000000000006,34.38000000000001,37.19100000000001,28.965000000000007,306.34799999999984,51.235999999999976,26.714000000000002,44.57000000000001,32.452000000000005,63.063,20.927999999999994,32.859,43.878,45.85799999999998,48.589999999999996,47.6,47.438,40.003,42.032000000000004,19.972,20.174,27.530999999999995,21.580000000000002
225,259.23,129.265,1.329,1.492,0.0,4.338,6.3260000000000005,13.606,27.427000000000003,5.386,3.8240000000000003,0.6140000000000001,0.9420000000000001,2.225,8.038,400.036,8.778,3.572,2.638,12.29,4.834,10.622000000000002,1.588,4.824,0.001,0.122
226,10.156,10.600000000000001,13.828,20.786,8.088000000000001,0.0,11.010000000000002,5.936,5.672000000000001,7.384,11.610000000000001,12.952,21.888,15.748000000000001,17.154000000000003,37.325999999999986,15.405,10.688,21.272000000000002,16.094,15.378000000000002,23.083999999999993,7.984,21.098000000000003,20.318000000000005,22.586
227,21.54300000000001,1.8889999999999998,5.514,7.59,4.768,2.424,4.272,2.4000000000000004,3.274,1.464,3.578,1.9599999999999997,1.154,1.05,1.346,1.415,1.4040000000000001,0.0,1.824,0.854,0.0,1.014,1.014,1.492,1.964,4.206
228,0.818,0.336,1.074,0.0,0.055999999999999994,0.484,1.4900000000000002,0.818,3.2640000000000002,0.462,2.1419999999999995,2.044,0.87,3.286,3.3259999999999996,5.298,1.678,1.759,0.9620000000000001,0.11199999999999999,0.08800000000000001,3.7199999999999998,1.91,1.424,2.966,2.074
229,0.0,0.0,0.0,0.11599999999999999,0.0,0.0,0.29,0.0,0.0,0.18,0.0,0.0,0.055999999999999994,0.094,0.054000000000000006,0.1,0.08,0.0,0.0,0.0,0.068,0.0,0.0,0.0,0.0,0.32399999999999995
231,535.0939999999997,324.3599999999999,548.1279999999999,312.0899999999996,611.63,254.27300000000002,326.8189999999998,505.5679999999998,664.3949999999998,263.847,560.9489999999998,519.9339999999997,654.1659999999998,272.2139999999999,539.5059999999996,446.9309999999998,435.209,304.86299999999983,197.474,186.12000000000006,378.07799999999975,392.51899999999995,237.53400000000002,136.074,268.9219999999998,225.01200000000003
240,20.274,8.068000000000001,8.65,11.320000000000002,2.574,7.526000000000001,7.422,13.422000000000004,6.298,11.434,5.858,6.743999999999999,8.040000000000001,5.616,12.728000000000002,9.825999999999999,5.904000000000001,12.152000000000001,8.6,6.372,9.085999999999999,10.554,5.976,6.89,14.284999999999998,12.304
241,7.268000000000001,1.446,6.527999999999999,3.23,1.331,4.614000000000001,2.8760000000000003,3.412,6.904,2.05,4.08,1.038,6.498000000000001,2.222,4.2219999999999995,4.3580000000000005,4.584,2.894,0.9840000000000001,2.562,7.372000000000002,3.5580000000000003,2.498,3.2279999999999998,3.83,4.036
242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38799999999999996,0.298,0.154,0.0,0.0,0.14400000000000002,0.0,0.0,0.0,0.0,0.606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,0.0,0.0,0.22600000000000003,0.328,0.626,0.23800000000000002,0.0,0.204,0.728,0.578,0.37200000000000005,0.0,0.298,1.172,0.832,0.0,0.0,0.19,0.0,0.436,0.16399999999999998,0.142,0.42399999999999993,0.0,0.0,0.0
250,1.304,2.4699999999999998,0.0,2.858,0.0,0.0,3.508,1.752,0.204,0.0,0.24,0.552,0.0,1.508,0.0,0.28800000000000003,0.34,0.348,0.0,0.0,0.8799999999999999,1.508,0.0,0.0,0.0,0.406
251,38.584,20.055,41.989000000000004,21.720999999999997,48.242,43.543,55.635,59.23799999999999,46.659,52.782999999999994,69.81099999999999,56.85900000000001,38.62000000000001,55.25300000000001,46.15699999999999,61.69900000000001,53.955000000000005,53.13400000000001,26.093,83.96100000000001,44.05799999999999,62.67100000000001,88.95000000000003,54.13899999999999,65.54,56.921
254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.514,0.608,1.054,0.536,0.0,0.0
270,973.415,25.103,19.339,389.35699999999997,1351.046,3064.698,2709.433,1161.787,1420.334,973.365,1193.576,227.26500000000001,12.588000000000001,18.298000000000002,3854.556,1195.49,1511.18,1379.031,1715.106,4447.682,13.228,2492.848,3611.3,2811.645,1308.1100000000001,1326.859
271,1.086,0.7640000000000001,0.798,2.13,1.07,1.802,0.434,0.748,0.402,1.6880000000000002,1.0559999999999998,1.67,1.6360000000000001,1.264,1.182,1.276,1.338,4.34,0.214,0.002,0.45,1.6719999999999997,1.992,1.006,1.9720000000000002,1.3299999999999998
272,679.2609999999999,304.008,229.106,776.56,720.5619999999999,1.491,8.025999999999998,317.018,0.20400000000000001,206.514,604.47,0.278,1526.014,330.3699999999999,820.018,1273.382,2028.0059999999999,0.010000000000000002,8.013,537.585,0.013000000000000005,0.793,0.016000000000000004,0.011000000000000003,0.794,1059.811
