pluno, d-1,d-2,d-3,d-4,d-5,d-6,d-7
22008020,0.0,2810.0,0.0,1118.0,496.0,288.0,3250.0
22008020,1104.0,0.0,0.0,6748.0,0.0,4642.0,0.0
22008020,1594.0,1104.0,0.0,0.0,6748.0,0.0,4642.0
22008020,2364.0,1594.0,1104.0,0.0,0.0,6748.0,0.0
22008020,1110.0,0.0,2694.0,5742.0,2041.0,1922.0,2364.0
22008020,3176.0,1110.0,0.0,2694.0,5742.0,2041.0,1922.0
22008020,7542.0,3176.0,1110.0,0.0,2694.0,5742.0,2041.0
22008020,0.0,4094.0,924.0,7542.0,3176.0,1110.0,0.0
22008020,1762.0,0.0,4094.0,924.0,7542.0,3176.0,1110.0
22008020,849.0,1762.0,0.0,4094.0,924.0,7542.0,3176.0
22008020,0.0,0.0,1146.0,2462.0,3406.0,2654.0,849.0
22008020,1986,0.0,0.0,1146.0,2462.0,3406.0,2654.0
22008020,1.0,0.0,1712.0,0.0,602.0,0.0,1160.0
22008020,920.0,1.0,0.0,1712.0,0.0,602.0,0.0
22008020,4930.0,920.0,1.0,0.0,1712.0,0.0,602.0
22008020,6080.0,4930.0,920.0,1.0,0.0,1712.0,0.0
22008020,1948.0,0.0,2634.0,6080.0,4930.0,920.0,1.0
